query	rank	left	top	width	height
三国志刘备传修改器	8	15	995	538	109
三国志刘备传修改器	9	15	1118	538	114
三国志刘备传修改器	10	15	1246	538	85
努比亚（nubia）小牛4+Z9mini	1	15	5	538	109
努比亚（nubia）小牛4+Z9mini	2	15	128	538	165
努比亚（nubia）小牛4+Z9mini	3	15	307	538	107
努比亚（nubia）小牛4+Z9mini	4	15	428	538	192
努比亚（nubia）小牛4+Z9mini	5	15	634	538	109
努比亚（nubia）小牛4+Z9mini	6	15	757	538	109
努比亚（nubia）小牛4+Z9mini	7	15	880	538	109
努比亚（nubia）小牛4+Z9mini	8	15	1003	538	107
努比亚（nubia）小牛4+Z9mini	9	15	1124	538	109
努比亚（nubia）小牛4+Z9mini	10	15	1247	538	109
菏泽公墓	1	15	5	538	203
菏泽公墓	2	15	222	538	109
菏泽公墓	3	15	345	538	85
菏泽公墓	4	15	444	538	85
菏泽公墓	5	15	543	538	85
菏泽公墓	6	15	642	538	85
菏泽公墓	7	15	741	538	85
菏泽公墓	8	15	840	538	85
菏泽公墓	9	15	939	538	85
菏泽公墓	10	15	1038	538	85
通用pe工具箱	1	15	5	538	104
通用pe工具箱	2	15	123	538	233
通用pe工具箱	3	15	370	538	110
通用pe工具箱	4	15	494	538	149
通用pe工具箱	5	15	657	538	85
通用pe工具箱	6	15	756	538	120
通用pe工具箱	7	15	890	538	125
通用pe工具箱	8	15	1029	538	129
通用pe工具箱	9	15	1172	538	149
通用pe工具箱	10	15	1335	538	120
深圳市格美奇科技有限公司	1	15	5	538	85
深圳市格美奇科技有限公司	2	15	104	538	302
深圳市格美奇科技有限公司	3	15	420	538	85
深圳市格美奇科技有限公司	4	15	519	538	85
深圳市格美奇科技有限公司	5	15	618	538	85
深圳市格美奇科技有限公司	6	15	717	538	85
深圳市格美奇科技有限公司	7	15	816	538	85
深圳市格美奇科技有限公司	8	15	915	538	85
深圳市格美奇科技有限公司	9	15	1014	538	85
深圳市格美奇科技有限公司	10	15	1113	538	85
抛釉砖的缺点	1	15	5	538	129
抛釉砖的缺点	2	15	148	538	85
抛釉砖的缺点	3	15	247	538	200
抛釉砖的缺点	4	15	461	538	129
抛釉砖的缺点	5	15	604	538	104
抛釉砖的缺点	6	15	722	538	109
抛釉砖的缺点	7	15	845	538	192
抛釉砖的缺点	8	15	1051	538	85
抛釉砖的缺点	9	15	1150	538	109
抛釉砖的缺点	10	15	1273	538	109
pdf打印机破解版+win7	1	15	5	538	109
pdf打印机破解版+win7	2	15	128	538	125
pdf打印机破解版+win7	3	15	267	538	120
pdf打印机破解版+win7	4	15	401	538	114
pdf打印机破解版+win7	5	15	529	538	114
pdf打印机破解版+win7	6	15	657	538	109
pdf打印机破解版+win7	7	15	780	538	109
pdf打印机破解版+win7	8	15	903	538	109
pdf打印机破解版+win7	9	15	1026	538	114
pdf打印机破解版+win7	10	15	1154	538	85
dmi指标详解	1	15	5	538	129
dmi指标详解	2	15	148	538	109
dmi指标详解	3	15	271	538	168
dmi指标详解	4	15	453	538	108
dmi指标详解	5	15	575	538	108
dmi指标详解	6	15	697	538	104
dmi指标详解	7	15	815	538	107
dmi指标详解	8	15	936	538	85
dmi指标详解	9	15	1035	538	85
dmi指标详解	10	15	1134	538	85
地震中的父与子小练笔	1	15	5	538	251
地震中的父与子小练笔	2	15	270	538	85
地震中的父与子小练笔	3	15	369	538	125
地震中的父与子小练笔	4	15	508	538	107
地震中的父与子小练笔	5	15	629	538	111
地震中的父与子小练笔	6	15	754	538	85
地震中的父与子小练笔	7	15	853	538	105
地震中的父与子小练笔	8	15	972	538	85
地震中的父与子小练笔	9	15	1071	538	85
地震中的父与子小练笔	10	15	1170	538	85
电脑壁纸高清	1	15	5	538	492
电脑壁纸高清	2	15	511	538	104
电脑壁纸高清	3	15	629	538	85
电脑壁纸高清	4	15	728	538	104
电脑壁纸高清	5	15	846	538	104
电脑壁纸高清	6	15	964	538	109
电脑壁纸高清	7	15	1087	538	109
电脑壁纸高清	8	15	1210	538	109
电脑壁纸高清	9	15	1333	538	109
电脑壁纸高清	10	15	1456	538	85
叠像术	1	15	5	538	108
叠像术	2	15	127	538	268
叠像术	3	15	409	538	85
叠像术	4	15	508	538	105
叠像术	5	15	627	538	85
叠像术	6	15	726	538	85
叠像术	7	15	825	538	85
叠像术	8	15	924	538	85
叠像术	9	15	1023	538	109
叠像术	10	15	1146	538	85
html文档的基本结构	1	15	5	538	299
html文档的基本结构	2	15	318	538	145
html文档的基本结构	3	15	477	538	85
html文档的基本结构	4	15	576	538	85
html文档的基本结构	5	15	675	538	85
html文档的基本结构	6	15	774	538	148
html文档的基本结构	7	15	936	538	85
html文档的基本结构	8	15	1035	538	85
html文档的基本结构	9	15	1134	538	109
html文档的基本结构	10	15	1257	538	85
胎盘组织液的作用	1	15	5	538	165
胎盘组织液的作用	2	15	184	538	109
胎盘组织液的作用	3	15	307	538	105
胎盘组织液的作用	4	15	426	538	85
胎盘组织液的作用	5	15	525	538	85
胎盘组织液的作用	6	15	624	538	85
胎盘组织液的作用	7	15	723	538	293
胎盘组织液的作用	8	15	1030	538	125
胎盘组织液的作用	9	15	1169	538	105
胎盘组织液的作用	10	15	1288	538	191
幼儿园春季育儿知识	1	15	5	538	85
幼儿园春季育儿知识	2	15	104	538	108
幼儿园春季育儿知识	3	15	226	538	85
幼儿园春季育儿知识	4	15	325	538	109
幼儿园春季育儿知识	5	15	448	538	109
幼儿园春季育儿知识	6	15	571	538	85
幼儿园春季育儿知识	7	15	670	538	85
幼儿园春季育儿知识	8	15	769	538	85
幼儿园春季育儿知识	9	15	868	538	85
幼儿园春季育儿知识	10	15	967	538	85
winxp+ghost+下载	1	15	5	538	110
winxp+ghost+下载	2	15	129	538	85
winxp+ghost+下载	3	15	228	538	110
winxp+ghost+下载	4	15	352	538	109
winxp+ghost+下载	5	15	475	538	109
winxp+ghost+下载	6	15	598	538	85
winxp+ghost+下载	7	15	697	538	104
winxp+ghost+下载	8	15	815	538	109
winxp+ghost+下载	9	15	938	538	104
winxp+ghost+下载	10	15	1056	538	110
黄河是怎样变化的主要内容	1	15	5	538	356
黄河是怎样变化的主要内容	2	15	375	538	85
黄河是怎样变化的主要内容	3	15	474	538	105
黄河是怎样变化的主要内容	4	15	593	538	188
黄河是怎样变化的主要内容	5	15	795	538	107
黄河是怎样变化的主要内容	6	15	916	538	85
黄河是怎样变化的主要内容	7	15	1015	538	105
黄河是怎样变化的主要内容	8	15	1134	538	85
黄河是怎样变化的主要内容	9	15	1233	538	85
黄河是怎样变化的主要内容	10	15	1332	538	105
简单科学小发明小制作	1	15	5	538	109
简单科学小发明小制作	2	15	128	538	109
简单科学小发明小制作	3	15	251	538	185
简单科学小发明小制作	4	15	450	538	109
简单科学小发明小制作	5	15	573	538	109
简单科学小发明小制作	6	15	696	538	109
简单科学小发明小制作	7	15	819	538	109
简单科学小发明小制作	8	15	942	538	109
简单科学小发明小制作	9	15	1065	538	85
简单科学小发明小制作	10	15	1164	538	85
花的种类大全图鉴图片	1	15	5	538	611
花的种类大全图鉴图片	2	15	630	538	154
花的种类大全图鉴图片	3	15	798	538	109
花的种类大全图鉴图片	4	15	921	538	165
花的种类大全图鉴图片	5	15	1100	538	109
花的种类大全图鉴图片	6	15	1223	538	85
花的种类大全图鉴图片	7	15	1322	538	109
花的种类大全图鉴图片	8	15	1445	538	109
花的种类大全图鉴图片	9	15	1568	538	109
花的种类大全图鉴图片	10	15	1691	538	109
新疆舞蹈视频大全	1	15	5	538	210
新疆舞蹈视频大全	2	15	229	538	120
新疆舞蹈视频大全	3	15	363	538	120
新疆舞蹈视频大全	4	15	497	538	120
新疆舞蹈视频大全	5	15	631	538	120
新疆舞蹈视频大全	6	15	765	538	120
新疆舞蹈视频大全	7	15	899	538	112
新疆舞蹈视频大全	8	15	1025	538	89
