@relation output_weak

@attribute char_length numeric
@attribute word_length numeric
@attribute baidu_vertical_types_number numeric
@attribute baidu_vertical_results_number numeric
@attribute baidu_vertical_results_area_fraction numeric
@attribute baidu_total_images_number numeric
@attribute baidu_total_images_area_fraction numeric
@attribute sogou_vertical_types_number numeric
@attribute sogou_vertical_results_number numeric
@attribute sogou_vertical_results_area_fraction numeric
@attribute sogou_total_images_number numeric
@attribute sogou_total_images_area_fraction numeric
@attribute delta_vertical_types_number numeric
@attribute delta_vertical_results_number numeric
@attribute delta_vertical_results_area_fraction numeric
@attribute delta_total_images_number numeric
@attribute delta_total_images_area_fraction numeric
@attribute preference {different,tie}

@data
21,3,2,4,0.530819,7,0.128489,4,6,0.708703,4,0.072495,-2,-2,-0.177885,3,0.055994,tie
18,3,6,8,0.903561,12,0.238427,6,8,0.883534,9,0.158579,0,0,0.020027,3,0.079848,different
25,8,2,2,0.258977,2,0.034996,3,8,0.829077,1,0.017867,-1,-6,-0.570099,1,0.017129,different
26,5,3,7,0.733716,6,0.096943,3,9,0.91221,1,0.020593,0,-2,-0.178493,5,0.07635,tie
21,4,4,9,0.936282,10,0.137912,3,8,0.853535,0,0,1,1,0.082747,10,0.137912,tie
12,2,3,6,0.699559,8,0.12342,4,9,0.920981,1,0.016521,-1,-3,-0.221421,7,0.1069,tie
27,4,3,7,0.777293,3,0.044196,5,7,0.779374,1,0.015375,-2,0,-0.002082,2,0.02882,tie
12,2,6,10,1,14,0.208071,6,9,0.929383,4,0.092326,0,1,0.070617,10,0.115745,tie
27,4,4,9,0.933801,9,0.155894,3,9,0.934537,2,0.039953,1,0,-0.000737,7,0.11594,tie
18,5,5,8,0.864109,11,0.171934,5,6,0.727273,1,0.014255,0,2,0.136836,10,0.157679,tie
20,7,2,7,0.702778,6,0.093711,3,6,0.673546,0,0,-1,1,0.029232,6,0.093711,tie
24,3,3,10,1,3,0.05164,3,7,0.797831,3,0.082422,0,3,0.202169,0,-0.030783,tie
30,6,5,9,0.933176,10,0.147463,4,8,0.834915,1,0.025675,1,1,0.098261,9,0.121787,tie
18,3,5,9,0.909168,9,0.138037,3,10,1,0,0,2,-1,-0.090832,9,0.138037,tie
15,3,4,9,0.930725,6,0.08961,4,8,0.848958,4,0.070859,0,1,0.081767,2,0.018752,different
12,2,4,6,0.738663,6,0.119969,5,7,0.678082,2,0.029473,-1,-1,0.06058,4,0.090496,different
18,3,4,10,1,7,0.120602,4,8,0.857727,7,0.113176,0,2,0.142273,0,0.007426,different
15,2,3,7,0.780928,5,0.091199,3,9,0.933282,1,0.013949,0,-2,-0.152354,4,0.077251,different
18,3,2,3,0.501675,1,0.014127,2,2,0.303303,1,0.018207,0,1,0.198372,0,-0.00408,different
27,4,3,5,0.633621,7,0.114974,6,6,0.695733,1,0.016873,-3,-1,-0.062112,6,0.098101,tie
18,3,3,3,0.391616,1,0.017247,2,2,0.318315,1,0.017815,1,1,0.0733,0,-0.000568,tie
25,4,4,5,0.615732,4,0.081747,4,10,1,4,0.03895,0,-5,-0.384268,0,0.042798,tie
24,4,5,8,0.868852,6,0.079578,5,9,0.940857,4,0.053984,0,-1,-0.072004,2,0.025593,tie
30,4,4,6,0.668616,10,0.140057,4,5,0.611954,1,0.016226,0,1,0.056662,9,0.123832,different
27,6,3,4,0.442013,1,0.018455,2,3,0.385469,0,0,1,1,0.056544,1,0.018455,tie
39,9,3,6,0.657603,4,0.067948,3,6,0.692851,0,0,0,0,-0.035248,4,0.067948,tie
15,2,3,4,0.482234,1,0.020778,3,4,0.520221,0,0,0,0,-0.037987,1,0.020778,different
24,4,4,4,0.51567,2,0.045921,4,5,0.557477,0,0,0,-1,-0.041808,2,0.045921,tie
25,5,5,9,0.935801,11,0.151606,4,8,0.861355,2,0.016536,1,1,0.074446,9,0.13507,different
28,4,5,7,0.7861,7,0.102988,5,10,1,1,0.015259,0,-3,-0.2139,6,0.087729,tie
23,3,4,8,0.828937,10,0.155709,3,10,1,1,0.015817,1,-2,-0.171063,9,0.139892,different
29,5,2,4,0.511026,7,0.127009,3,5,0.625645,5,0.096401,-1,-1,-0.11462,2,0.030608,tie
16,3,3,9,0.92363,7,0.109321,4,10,1,3,0.04769,-1,-1,-0.07637,4,0.061631,tie
30,4,5,8,0.858794,7,0.110689,4,10,1,4,0.060025,1,-2,-0.141206,3,0.050664,tie
