char_length,word_length,baidu_vertical_types_number,baidu_vertical_results_number,baidu_vertical_results_area_fraction,baidu_total_images_number,baidu_total_images_area_fraction,baidu_rank_by_type_1,baidu_position_y_1,baidu_height_1,baidu_distance_by_type_1,baidu_title_char_length_1,baidu_title_word_length_1,baidu_title_matches_1,baidu_snippet_char_length_1,baidu_snippet_word_length_1,baidu_snippet_matches_1,baidu_vertical_type_1,baidu_images_number_1,baidu_images_area_fraction_1,baidu_is_vertical_1,baidu_is_identical_url_1,baidu_had_image_1,sogou_vertical_types_number,sogou_vertical_results_number,sogou_vertical_results_area_fraction,sogou_total_images_number,sogou_total_images_area_fraction,sogou_rank_by_type_1,sogou_position_y_1,sogou_height_1,sogou_distance_by_type_1,sogou_title_char_length_1,sogou_title_word_length_1,sogou_title_matches_1,sogou_snippet_char_length_1,sogou_snippet_word_length_1,sogou_snippet_matches_1,sogou_vertical_type_1,sogou_images_number_1,sogou_images_area_fraction_1,sogou_is_vertical_1,sogou_is_identical_url_1,sogou_had_image_1,delta_vertical_types_number,delta_vertical_results_number,delta_vertical_results_area_fraction,delta_total_images_number,delta_total_images_area_fraction,delta_position_y_1,delta_height_1,delta_title_char_length_1,delta_title_word_length_1,delta_title_matches_1,delta_snippet_char_length_1,delta_snippet_word_length_1,delta_snippet_matches_1,delta_images_number_1,delta_images_area_fraction_1,delta_is_vertical_1,delta_is_identical_url_1,delta_had_image_1,preference
9,1,2,3,0.368365180467,2,0.0358132266237,1,5.0,129.0,0,16,3,1,0,0,0,encyclopedia,0,0.0,1,0,0,4,6,0.682191780822,1,0.0166110419261,1,5.0,135.0,0,16,3,1,0,0,0,others,0,0.0,1,0,0,-2,-3,-0.313826600355,1,0.0192021846976,0.0,-6.0,0,0,0,0,0,0,0,0.0,0,0,0,baidu
13,3,4,7,0.785172704297,8,0.147668515485,1,5.0,244.0,0,32,7,3,0,0,0,image,4,0.441845938205,1,0,1,2,5,0.663051897754,1,0.0140891486515,1,5.0,246.0,0,48,12,3,0,0,0,forum,0,0.0,1,0,0,2,2,0.122120806543,7,0.133579366834,0.0,-2.0,-16,-5,0,0,0,0,4,0.441845938205,0,0,1,baidu
12,2,4,8,0.930894308943,4,0.154891649288,1,5.0,125.0,0,30,4,0,0,0,0,others,0,0.0,1,0,0,4,5,0.666103127642,3,0.0919511257973,1,5.0,47.0,0,31,5,0,0,0,0,organic,0,0.0,0,0,0,0,3,0.264791181302,1,0.062940523491,0.0,78.0,-1,-1,0,0,0,0,0,0.0,1,0,0,sogou
18,2,5,10,1.0,15,0.224835343478,1,5.0,134.0,0,37,6,2,0,0,0,image,2,0.384369971703,1,0,1,4,9,0.91577928364,0,0.0,1,5.0,90.0,0,61,9,2,0,0,0,image_text,0,0.0,1,0,0,1,1,0.0842207163601,15,0.224835343478,0.0,44.0,-24,-3,0,0,0,0,2,0.384369971703,0,0,1,baidu
15,2,3,7,0.770477047705,5,0.0852258088262,1,5.0,150.0,0,22,4,2,346,74,4,encyclopedia,1,0.181425030979,1,0,1,4,10,1.0,1,0.0150075007501,1,5.0,166.0,0,88,18,4,0,0,0,reading,0,0.0,1,1,0,-1,-3,-0.229522952295,4,0.0702183080762,0.0,-16.0,-66,-14,-2,346,74,4,1,0.181425030979,0,-1,1,sogou
21,4,2,5,0.581692913386,1,0.0166023914762,1,5.0,105.0,0,84,18,5,212,43,1,forum,0,0.0,1,1,0,1,4,0.517560073937,0,0.0,1,5.0,222.0,0,56,13,4,0,0,0,forum,0,0.0,1,0,0,1,1,0.0641328394487,1,0.0166023914762,0.0,-117.0,28,5,1,212,43,1,0,0.0,0,1,0,baidu
22,5,3,7,0.792006525285,9,0.148225862205,1,5.0,129.0,0,47,11,4,333,76,4,video,1,0.158655370162,1,1,1,2,6,0.728395061728,5,0.0880230880231,1,5.0,206.0,0,41,9,5,0,0,0,video,4,0.39625772286,1,0,1,1,1,0.0636114635571,4,0.0602027741818,0.0,-77.0,6,2,-1,333,76,4,-3,-0.237602352697,0,1,0,baidu
21,4,1,1,0.180064308682,0,0.0,1,5.0,85.0,0,33,7,3,227,45,4,organic,0,0.0,0,1,0,4,6,0.6925795053,0,0.0,1,5.0,178.0,0,28,6,4,0,0,0,reading,0,0.0,1,0,0,-3,-5,-0.512515196619,0,0.0,0.0,-93.0,5,1,-1,227,45,4,0,0.0,-1,1,0,baidu
27,5,3,10,1.0,1,0.0138603366802,1,5.0,109.0,0,53,10,3,220,53,8,image_text,1,0.15475256642,1,0,1,5,10,1.0,1,0.0135638261813,1,5.0,90.0,0,67,14,5,0,0,0,experience,0,0.0,1,0,0,-2,0,0.0,0,0.000296510498902,0.0,19.0,-14,-4,-2,220,53,8,1,0.15475256642,0,0,1,sogou
24,3,3,3,0.447539461467,1,0.0156620517547,1,5.0,268.0,0,56,13,3,0,0,0,others,0,0.0,1,0,0,4,5,0.598708487085,0,0.0,1,5.0,156.0,0,47,9,3,0,0,0,reading,0,0.0,1,0,0,-1,-2,-0.151169025618,1,0.0156620517547,0.0,112.0,9,4,0,0,0,0,0,0.0,0,0,0,sogou
