query	baidu_reciprocal_of_the_rank_of_the_first_identical_url	baidu_average_of_reciprocal_of_the_rank_of_the_identical_urls	baidu_fraction_of_identical_urls_first_screen	baidu_had_identical_url_first_screen	baidu_fraction_of_identical_urls_other_screens	baidu_had_identical_url_other_screens	sogou_reciprocal_of_the_rank_of_the_first_identical_url	sogou_average_of_reciprocal_of_the_rank_of_the_identical_urls	sogou_fraction_of_identical_urls_first_screen	sogou_had_identical_url_first_screen	sogou_fraction_of_identical_urls_other_screens	sogou_had_identical_url_other_screens	delta_reciprocal_of_the_rank_of_the_first_identical_url	delta_average_of_reciprocal_of_the_rank_of_the_identical_urls	delta_fraction_of_identical_urls_first_screen	delta_had_identical_url_first_screen	delta_fraction_of_identical_urls_other_screens	delta_had_identical_url_other_screens	
岳西在线家园	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
混沌战域神兵4升5	1.0	1.0	0.2	1	0.0	0	1.0	1.0	0.2	1	0.0	0	0.0	0.0	0.0	0	0.0	0	
批发零售用地	0.2	0.183333333333	0.2	1	0.2	1	0.2	0.183333333333	0.333333333333	1	0.0	0	0.0	0.0	-0.133333333333	0	0.2	1	
谷歌访问助手下载	0.333333333333	0.261111111111	0.5	1	0.166666666667	1	0.2	0.163888888889	0.2	1	0.4	1	0.133333333333	0.0972222222222	0.3	0	-0.233333333333	0	
杭州地铁5号线站点	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
宫锁珠帘+电视剧	0.25	0.25	0.0	0	0.142857142857	1	1.0	1.0	0.333333333333	1	0.0	0	-0.75	-0.75	-0.333333333333	-1	0.142857142857	1	
2015汉字听写大会词库	1.0	0.486111111111	0.4	1	0.2	1	0.333333333333	0.233333333333	0.4	1	0.2	1	0.666666666667	0.252777777778	0.0	0	0.0	0	
千与千寻	0.25	0.1875	0.0	0	0.285714285714	1	0.333333333333	0.291666666667	0.333333333333	1	0.166666666667	1	-0.0833333333333	-0.104166666667	-0.333333333333	-1	0.119047619048	0	
闪电侠第二季	1.0	0.75	0.666666666667	1	0.0	0	0.333333333333	0.291666666667	0.333333333333	1	0.142857142857	1	0.666666666667	0.458333333333	0.333333333333	0	-0.142857142857	-1	
容积和容积单位课件	0.166666666667	0.166666666667	0.166666666667	1	0.0	0	0.25	0.25	0.2	1	0.0	0	-0.0833333333333	-0.0833333333333	-0.0333333333333	0	0.0	0	
消石素	0.125	0.1125	0.0	0	0.333333333333	1	0.125	0.118055555556	0.0	0	0.285714285714	1	0.0	-0.00555555555556	0.0	0	0.047619047619	0	
四下语文园地三作文	0.111111111111	0.111111111111	0.0	0	0.166666666667	1	0.1	0.1	0.0	0	0.142857142857	1	0.0111111111111	0.0111111111111	0.0	0	0.0238095238095	0	
斯拉格精灵中文版全集	0.5	0.416666666667	0.666666666667	1	0.0	0	0.5	0.375	0.333333333333	1	0.142857142857	1	0.0	0.0416666666667	0.333333333333	0	-0.142857142857	-1	
奥林匹克公园	0.5	0.5	0.25	1	0.0	0	1.0	1.0	0.333333333333	1	0.0	0	-0.5	-0.5	-0.0833333333333	0	0.0	0	
都市逍遥天尊txt全集下载	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
HP862墨盒	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	
漂洋过海来看你吉他谱	0.5	0.321428571429	0.2	1	0.2	1	1.0	0.6	0.333333333333	1	0.0	0	-0.5	-0.278571428571	-0.133333333333	0	0.2	1	
当你老了吉他谱	1.0	1.0	0.2	1	0.0	0	0.5	0.5	0.2	1	0.0	0	0.5	0.5	0.0	0	0.0	0	
日语输入法下载	0.5	0.5	0.25	1	0.0	0	0.333333333333	0.333333333333	0.333333333333	1	0.0	0	0.166666666667	0.166666666667	-0.0833333333333	0	0.0	0	
