query	baidu_vertical_types_number	baidu_vertical_results_number	baidu_vertical_results_area_fraction	baidu_total_images_number	baidu_total_images_area_fraction	sogou_vertical_types_number	sogou_vertical_results_number	sogou_vertical_results_area_fraction	sogou_total_images_number	sogou_total_images_area_fraction	delta_vertical_types_number	delta_vertical_results_number	delta_vertical_results_area_fraction	delta_total_images_number	delta_total_images_area_fraction	
极品时刻表	4	9	0.929401993355	7	0.125155923872	3	7	0.784653465347	1	0.0150075007501	1	2	0.144748528009	6	0.110148423122	
2034盒子破解版会员号	2	6	0.666015625	2	0.0399737163104	4	8	0.832692307692	0	0.0	-2	-2	-0.166676682692	2	0.0399737163104	
联合早报	5	8	0.871309613929	7	0.101472073933	3	8	0.874277456647	4	0.0650052548607	2	0	-0.00296784271856	3	0.0364668190722	
faker第一视角	3	8	0.850823937554	11	0.176531563047	5	7	0.788781770377	2	0.0318827185085	-2	1	0.0620421671773	9	0.144648844539	
德化森林公园的春游方案	2	7	0.73602484472	4	0.0698469140363	3	5	0.521452145215	0	0.0	-1	2	0.214572699506	4	0.0698469140363	
赞美樱花的诗句	2	5	0.581692913386	1	0.0166023914762	1	4	0.517560073937	0	0.0	1	1	0.0641328394487	1	0.0166023914762	
神奇四侠2免费观看	4	5	0.615732368897	4	0.0817474135671	4	10	1.0	4	0.038949722098	0	-5	-0.384267631103	0	0.0427976914691	
深圳煜森照明	0	0	0.0	0	0.0	0	0	0.0	0	0.0	0	0	0.0	0	0.0	
自制鲤鲫钓鱼鱼饵配方	1	5	0.561855670103	5	0.0869486069061	4	7	0.741328047572	0	0.0	-3	-2	-0.179472377469	5	0.0869486069061	
水泥价格今日报价	2	4	0.504373177843	8	0.13613390125	3	6	0.678075855689	4	0.110227903456	-1	-2	-0.173702677847	4	0.025905997794	
迪迦奥特曼最终圣战	4	9	0.933800623053	9	0.155893525113	3	9	0.93453724605	2	0.0399534851905	1	0	-0.000736622996702	7	0.115940039923	
冰煮羊加盟联系方式	2	2	0.25601750547	1	0.01845517477	2	3	0.324084350721	0	0.0	0	-1	-0.068066845251	1	0.01845517477	
金太阳国信证券	4	8	0.849557522124	6	0.0959338092575	4	9	0.925449871465	3	0.0462600296019	0	-1	-0.0758923493414	3	0.0496737796556	
小课题研究申报表范例	1	2	0.286463798531	0	0.0	3	7	0.755617977528	2	0.027403813415	-2	-5	-0.469154178997	-2	-0.027403813415	
傣族服饰图片	4	10	1.0	13	0.211515169685	3	7	0.777493606138	9	0.185237541657	1	3	0.222506393862	4	0.0262776280276	
52pk挂下载+免费版	3	8	0.821161048689	7	0.110558247358	5	6	0.656126482213	1	0.0152066115702	-2	2	0.165034566476	6	0.0953516357878	
